time,STH_71,S_41,T_20,SA,CT,STH_pred,d_error
2000-03-15,23.207,36.062,27.96,36.232298,27.921804,23.207113,0.000112
2000-03-16,23.205,36.057,27.96,36.227273,27.92201,23.203351,-0.001649
2000-03-17,23.186,36.045,27.99,36.215215,27.952534,23.184474,-0.001527
2000-03-18,23.196,36.052,27.98,36.222248,27.942235,23.193023,-0.002976
2000-03-19,23.186,36.038,27.97,36.208182,27.932804,23.185776,-0.000224
2000-03-20,23.159,36.032,28.04,36.202157,28.003118,23.158268,-0.000732
2000-03-21,23.138,36.039,28.12,36.20919,28.082903,23.137205,-0.000795
2000-03-22,23.14,36.05,28.14,36.22024,28.102464,23.138887,-0.001113
2000-03-23,23.178,36.066,28.06,36.236318,28.021728,23.177262,-0.000738
2000-03-24,23.236,36.11,27.99,36.280525,27.949848,23.233365,-0.002635
2000-03-25,23.22,36.111,28.04,36.281529,27.999849,23.217682,-0.002317
2000-03-26,23.229,36.108,28.0,36.278517,27.959939,23.228576,-0.000424
2000-03-27,23.274,36.138,27.94,36.308657,27.898652,23.270844,-0.003156
2000-03-28,23.299,36.168,27.93,36.338797,27.887406,23.296692,-0.002308
2000-03-29,23.266,36.16,28.01,36.33076,27.967797,23.2644,-0.0016
2000-03-30,23.25,36.149,28.03,36.319707,27.988269,23.24955,-0.00045
2000-03-31,23.259,36.154,28.02,36.324731,27.978054,23.2566,-0.002401
2000-04-01,23.223,36.131,28.08,36.301624,28.039053,23.219563,-0.003437
2000-04-02,23.167,36.121,28.22,36.291575,28.179584,23.165883,-0.001117
2000-04-03,23.171,36.128,28.23,36.298608,28.189302,23.167843,-0.003156
2000-04-04,23.175,36.139,28.24,36.309661,28.198852,23.172812,-0.002188
2000-04-05,23.05,36.132,28.61,36.302628,28.569464,23.044807,-0.005192
2000-04-06,22.931,36.065,28.81,36.23531,28.772477,22.927713,-0.003287
2000-04-07,22.897,36.046,28.87,36.216223,28.833343,22.893362,-0.003637
2000-04-08,22.995,36.087,28.66,36.257417,28.621403,22.994333,-0.000668
2000-04-09,23.009,36.081,28.61,36.251389,28.571609,23.006485,-0.002516
2000-04-10,22.981,36.019,28.55,36.189096,28.514155,22.979861,-0.00114
2000-04-11,22.935,35.927,28.48,36.096658,28.44794,22.933975,-0.001024
2000-04-12,22.948,35.926,28.44,36.095654,28.407938,22.946494,-0.001506
2000-04-13,22.939,35.924,28.47,36.093646,28.438054,22.93504,-0.003959
2000-04-14,22.908,35.903,28.51,36.072547,28.47898,22.90598,-0.002021
2000-04-15,22.884,35.89,28.55,36.059485,28.519571,22.882922,-0.001079
2000-04-16,22.831,35.851,28.63,36.020303,28.601306,22.827009,-0.003991
2000-04-17,22.761,35.789,28.7,35.95801,28.674007,22.75711,-0.00389
2000-04-18,22.661,35.624,28.62,35.79223,28.600842,22.659792,-0.001207
2000-04-19,22.736,35.748,28.68,35.916816,28.655708,22.732975,-0.003026
2000-04-20,22.722,35.742,28.71,35.910787,28.686,22.718469,-0.003531
2000-04-21,22.667,35.674,28.72,35.842465,28.698882,22.664055,-0.002945
2000-04-22,22.653,35.656,28.72,35.824379,28.699641,22.650533,-0.002467
2000-04-23,22.655,35.652,28.71,35.820362,28.689795,22.650863,-0.004137
2000-04-24,22.618,35.587,28.67,35.755056,28.652474,22.615361,-0.002639
2000-04-25,22.607,35.573,28.67,35.74099,28.653064,22.604845,-0.002156
2000-04-26,22.641,35.589,28.6,35.757065,28.582283,22.640148,-0.000853
2000-04-27,22.648,35.567,28.53,35.734961,28.513098,22.646868,-0.001132
2000-04-28,22.652,35.566,28.52,35.733957,28.503124,22.649436,-0.002565
2000-04-29,22.53,35.409,28.53,35.576214,28.519724,22.528161,-0.001839
2000-04-30,22.524,35.387,28.5,35.554111,28.490593,22.52158,-0.00242
2000-05-01,22.537,35.387,28.46,35.554111,28.450521,22.534832,-0.002169
2000-05-02,22.53,35.354,28.4,35.520954,28.391795,22.529889,-0.000112
2000-05-03,22.529,35.322,28.33,35.488802,28.323004,22.528968,-3.1e-05
2000-05-04,22.571,35.355,28.28,35.521958,28.27154,22.570265,-0.000734
2000-05-05,22.593,35.361,28.23,35.527987,28.221201,22.591255,-0.001745
2000-05-06,22.562,35.297,28.18,35.463686,28.17377,22.559611,-0.002389
