time,mld_tl,mld_th,low_depth_tl,low_depth_th,high_depth_tl,high_depth_th
2000-01-16,30.22,40.36,25.16,35.28,35.28,45.45
2000-02-15,40.36,40.36,35.28,35.28,45.45,45.45
2000-03-16,40.36,40.36,35.28,35.28,45.45,45.45
2000-04-16,20.12,40.36,15.08,35.28,25.16,45.45
2000-05-16,50.57,60.87,45.45,55.69,55.69,66.04
2000-06-16,60.87,60.87,55.69,55.69,66.04,66.04
2000-07-16,60.87,71.29,55.69,66.04,66.04,76.55
2000-08-16,71.29,71.29,66.04,66.04,76.55,76.55
2000-09-16,60.87,71.29,55.69,66.04,66.04,76.55
2000-10-16,60.87,60.87,55.69,55.69,66.04,66.04
2000-11-16,60.87,60.87,55.69,55.69,66.04,66.04
2000-12-16,45.48,60.87,35.28,55.69,55.69,66.04
2001-01-16,20.12,40.36,15.08,35.28,25.16,45.45
2001-02-15,30.22,30.22,25.16,25.16,35.28,35.28
2001-03-16,30.22,30.22,25.16,25.16,35.28,35.28
2001-04-16,40.36,40.36,35.28,35.28,45.45,45.45
2001-05-16,50.57,50.57,45.45,45.45,55.69,55.69
2001-06-16,60.87,60.87,55.69,55.69,66.04,66.04
2001-07-16,45.6,71.29,25.16,66.04,66.04,76.55
2001-08-16,71.29,71.29,66.04,66.04,76.55,76.55
2001-09-16,60.87,60.87,55.69,55.69,66.04,66.04
2001-10-16,20.12,40.36,15.08,35.28,25.16,45.45
2001-11-16,50.57,50.57,45.45,45.45,55.69,55.69
2001-12-16,40.36,50.57,35.28,45.45,45.45,55.69
2002-01-16,30.22,40.36,25.16,35.28,35.28,45.45
2002-02-15,40.36,40.36,35.28,35.28,45.45,45.45
2002-03-16,30.22,40.36,25.16,35.28,35.28,45.45
2002-04-16,10.05,20.12,5.02,15.08,15.08,25.16
2002-05-16,40.36,40.36,35.28,35.28,45.45,45.45
2002-06-16,50.57,50.57,45.45,45.45,55.69,55.69
2002-07-16,35.3,50.57,25.16,45.45,45.45,55.69
2002-08-16,50.57,50.57,45.45,45.45,55.69,55.69
2002-09-16,60.87,60.87,55.69,55.69,66.04,66.04
2002-10-16,40.36,50.57,35.28,45.45,45.45,55.69
2002-11-16,40.36,40.36,35.28,35.28,45.45,45.45
2002-12-16,40.36,40.36,35.28,35.28,45.45,45.45
2003-01-16,30.22,40.36,25.16,35.28,35.28,45.45
2003-02-15,30.22,30.22,25.16,25.16,35.28,35.28
2003-03-16,30.22,30.22,25.16,25.16,35.28,35.28
2003-04-16,30.22,30.22,25.16,25.16,35.28,35.28
2003-05-16,30.22,30.22,25.16,25.16,35.28,35.28
2003-06-16,35.3,40.43,25.16,25.16,45.45,55.69
2003-07-16,40.43,60.87,25.16,55.69,55.69,66.04
2003-08-16,40.43,60.87,25.16,55.69,55.69,66.04
2003-09-16,20.12,30.22,15.08,25.16,25.16,35.28
2003-10-16,30.22,50.57,25.16,45.45,35.28,55.69
2003-11-16,60.87,60.87,55.69,55.69,66.04,66.04
2003-12-16,60.87,60.87,55.69,55.69,66.04,66.04
2004-01-16,50.57,50.57,45.45,45.45,55.69,55.69
2004-02-15,30.22,30.22,25.16,25.16,35.28,35.28
2004-03-16,30.22,40.36,25.16,35.28,35.28,45.45
2004-04-16,40.36,40.36,35.28,35.28,45.45,45.45
2004-05-16,50.57,50.57,45.45,45.45,55.69,55.69
2004-06-16,35.39,60.87,15.08,55.69,55.69,66.04
2004-07-16,45.48,60.87,35.28,55.69,55.69,66.04
2004-08-16,60.87,60.87,55.69,55.69,66.04,66.04
2004-09-16,60.87,60.87,55.69,55.69,66.04,66.04
2004-10-16,60.87,60.87,55.69,55.69,66.04,66.04
