--- TRAINING CONFIGURATION ---
{'model': {'modes1': 64, 'modes2': 64, 'modes3': 64, 'width': 32, 'n_vars': 5, 'n_layers': 4}, 'data': {'train_times': [1, 3], 'target_time': 5, 'simulation_dt': 20.0, 'grid_shape': (256, 256, 256)}, 'physics': {'kappa': 1e-06}, 'training': {'epochs': 4000, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'scheduler_pct_start': 0.1}, 'loss_weights': {'physics': 2.0, 'data': 10.0, 'bc': 50.0, 'smooth': 0.001}}

Epoch 0/4000 | Total: 2.0275e+05 | Physics: 1.3031e+00 | Data: 2.0273e+04 | BC: 4.0520e-01 | Smooth: 1.3808e-01
Epoch 1/4000 | Total: 2.0275e+05 | Physics: 1.3031e+00 | Data: 2.0273e+04 | BC: 4.0520e-01 | Smooth: 1.3768e-01
Epoch 2/4000 | Total: 2.0275e+05 | Physics: 1.3031e+00 | Data: 2.0273e+04 | BC: 4.0520e-01 | Smooth: 1.3732e-01
Epoch 3/4000 | Total: 2.0275e+05 | Physics: 1.3031e+00 | Data: 2.0273e+04 | BC: 4.0520e-01 | Smooth: 1.3699e-01
Epoch 4/4000 | Total: 2.0275e+05 | Physics: 1.3031e+00 | Data: 2.0273e+04 | BC: 4.0520e-01 | Smooth: 1.3670e-01
Epoch 5/4000 | Total: 2.0275e+05 | Physics: 1.3031e+00 | Data: 2.0272e+04 | BC: 4.0520e-01 | Smooth: 1.3645e-01
Epoch 6/4000 | Total: 2.0275e+05 | Physics: 1.3031e+00 | Data: 2.0272e+04 | BC: 4.0519e-01 | Smooth: 1.3623e-01
Epoch 7/4000 | Total: 2.0274e+05 | Physics: 1.3031e+00 | Data: 2.0272e+04 | BC: 4.0519e-01 | Smooth: 1.3605e-01
Epoch 8/4000 | Total: 2.0274e+05 | Physics: 1.3031e+00 | Data: 2.0272e+04 | BC: 4.0519e-01 | Smooth: 1.3591e-01
Epoch 9/4000 | Total: 2.0274e+05 | Physics: 1.3031e+00 | Data: 2.0272e+04 | BC: 4.0519e-01 | Smooth: 1.3580e-01
Epoch 10/4000 | Total: 2.0274e+05 | Physics: 1.3031e+00 | Data: 2.0272e+04 | BC: 4.0519e-01 | Smooth: 1.3573e-01
Epoch 11/4000 | Total: 2.0274e+05 | Physics: 1.3031e+00 | Data: 2.0272e+04 | BC: 4.0518e-01 | Smooth: 1.3569e-01
Epoch 12/4000 | Total: 2.0274e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0518e-01 | Smooth: 1.3568e-01
Epoch 13/4000 | Total: 2.0274e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0518e-01 | Smooth: 1.3571e-01
Epoch 14/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0518e-01 | Smooth: 1.3578e-01
Epoch 15/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0518e-01 | Smooth: 1.3587e-01
Epoch 16/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0518e-01 | Smooth: 1.3600e-01
Epoch 17/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0517e-01 | Smooth: 1.3616e-01
Epoch 18/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0517e-01 | Smooth: 1.3636e-01
Epoch 19/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0517e-01 | Smooth: 1.3659e-01
Epoch 20/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0517e-01 | Smooth: 1.3685e-01
Epoch 21/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0517e-01 | Smooth: 1.3714e-01
Epoch 22/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0516e-01 | Smooth: 1.3746e-01
Epoch 23/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0516e-01 | Smooth: 1.3782e-01
Epoch 24/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0516e-01 | Smooth: 1.3821e-01
Epoch 25/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0269e+04 | BC: 4.0516e-01 | Smooth: 1.3863e-01
Epoch 26/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0269e+04 | BC: 4.0515e-01 | Smooth: 1.3909e-01
Epoch 27/4000 | Total: 2.0271e+05 | Physics: 1.3031e+00 | Data: 2.0269e+04 | BC: 4.0515e-01 | Smooth: 1.3957e-01
Epoch 28/4000 | Total: 2.0271e+05 | Physics: 1.3031e+00 | Data: 2.0269e+04 | BC: 4.0515e-01 | Smooth: 1.4009e-01
Epoch 29/4000 | Total: 2.0271e+05 | Physics: 1.3031e+00 | Data: 2.0269e+04 | BC: 4.0515e-01 | Smooth: 1.4065e-01
Epoch 30/4000 | Total: 2.0271e+05 | Physics: 1.3031e+00 | Data: 2.0269e+04 | BC: 4.0514e-01 | Smooth: 1.4124e-01
Epoch 31/4000 | Total: 2.0271e+05 | Physics: 1.3031e+00 | Data: 2.0268e+04 | BC: 4.0514e-01 | Smooth: 1.4186e-01
Epoch 32/4000 | Total: 2.0271e+05 | Physics: 1.3031e+00 | Data: 2.0268e+04 | BC: 4.0514e-01 | Smooth: 1.4252e-01
Epoch 33/4000 | Total: 2.0270e+05 | Physics: 1.3031e+00 | Data: 2.0268e+04 | BC: 4.0514e-01 | Smooth: 1.4321e-01
Epoch 34/4000 | Total: 2.0270e+05 | Physics: 1.3031e+00 | Data: 2.0268e+04 | BC: 4.0514e-01 | Smooth: 1.4394e-01
Epoch 35/4000 | Total: 2.0270e+05 | Physics: 1.3031e+00 | Data: 2.0268e+04 | BC: 4.0513e-01 | Smooth: 1.4471e-01
Epoch 36/4000 | Total: 2.0270e+05 | Physics: 1.3031e+00 | Data: 2.0268e+04 | BC: 4.0513e-01 | Smooth: 1.4551e-01
Epoch 37/4000 | Total: 2.0270e+05 | Physics: 1.3031e+00 | Data: 2.0267e+04 | BC: 4.0513e-01 | Smooth: 1.4636e-01
Epoch 38/4000 | Total: 2.0269e+05 | Physics: 1.3031e+00 | Data: 2.0267e+04 | BC: 4.0512e-01 | Smooth: 1.4724e-01
Epoch 39/4000 | Total: 2.0269e+05 | Physics: 1.3031e+00 | Data: 2.0267e+04 | BC: 4.0512e-01 | Smooth: 1.4815e-01
Epoch 40/4000 | Total: 2.0269e+05 | Physics: 1.3031e+00 | Data: 2.0267e+04 | BC: 4.0512e-01 | Smooth: 1.4911e-01
Epoch 41/4000 | Total: 2.0269e+05 | Physics: 1.3031e+00 | Data: 2.0266e+04 | BC: 4.0512e-01 | Smooth: 1.5011e-01
Epoch 42/4000 | Total: 2.0269e+05 | Physics: 1.3031e+00 | Data: 2.0266e+04 | BC: 4.0511e-01 | Smooth: 1.5115e-01
Epoch 43/4000 | Total: 2.0268e+05 | Physics: 1.3031e+00 | Data: 2.0266e+04 | BC: 4.0511e-01 | Smooth: 1.5223e-01
Epoch 44/4000 | Total: 2.0268e+05 | Physics: 1.3030e+00 | Data: 2.0266e+04 | BC: 4.0511e-01 | Smooth: 1.5335e-01
Epoch 45/4000 | Total: 2.0268e+05 | Physics: 1.3030e+00 | Data: 2.0266e+04 | BC: 4.0510e-01 | Smooth: 1.5451e-01
Epoch 46/4000 | Total: 2.0268e+05 | Physics: 1.3030e+00 | Data: 2.0265e+04 | BC: 4.0510e-01 | Smooth: 1.5572e-01
Epoch 47/4000 | Total: 2.0267e+05 | Physics: 1.3030e+00 | Data: 2.0265e+04 | BC: 4.0510e-01 | Smooth: 1.5697e-01
Epoch 48/4000 | Total: 2.0267e+05 | Physics: 1.3030e+00 | Data: 2.0265e+04 | BC: 4.0509e-01 | Smooth: 1.5826e-01
Epoch 49/4000 | Total: 2.0267e+05 | Physics: 1.3030e+00 | Data: 2.0264e+04 | BC: 4.0509e-01 | Smooth: 1.5959e-01
Epoch 50/4000 | Total: 2.0266e+05 | Physics: 1.3030e+00 | Data: 2.0264e+04 | BC: 4.0509e-01 | Smooth: 1.6097e-01
Epoch 51/4000 | Total: 2.0266e+05 | Physics: 1.3030e+00 | Data: 2.0264e+04 | BC: 4.0508e-01 | Smooth: 1.6239e-01
Epoch 52/4000 | Total: 2.0266e+05 | Physics: 1.3030e+00 | Data: 2.0264e+04 | BC: 4.0508e-01 | Smooth: 1.6386e-01
Epoch 53/4000 | Total: 2.0265e+05 | Physics: 1.3030e+00 | Data: 2.0263e+04 | BC: 4.0508e-01 | Smooth: 1.6537e-01
Epoch 54/4000 | Total: 2.0265e+05 | Physics: 1.3030e+00 | Data: 2.0263e+04 | BC: 4.0507e-01 | Smooth: 1.6693e-01
Epoch 55/4000 | Total: 2.0265e+05 | Physics: 1.3030e+00 | Data: 2.0263e+04 | BC: 4.0507e-01 | Smooth: 1.6853e-01
Epoch 56/4000 | Total: 2.0264e+05 | Physics: 1.3030e+00 | Data: 2.0262e+04 | BC: 4.0506e-01 | Smooth: 1.7018e-01
Epoch 57/4000 | Total: 2.0264e+05 | Physics: 1.3030e+00 | Data: 2.0262e+04 | BC: 4.0506e-01 | Smooth: 1.7187e-01
Epoch 58/4000 | Total: 2.0264e+05 | Physics: 1.3030e+00 | Data: 2.0261e+04 | BC: 4.0506e-01 | Smooth: 1.7362e-01
Epoch 59/4000 | Total: 2.0263e+05 | Physics: 1.3030e+00 | Data: 2.0261e+04 | BC: 4.0505e-01 | Smooth: 1.7541e-01
Epoch 60/4000 | Total: 2.0263e+05 | Physics: 1.3030e+00 | Data: 2.0261e+04 | BC: 4.0505e-01 | Smooth: 1.7725e-01
Epoch 61/4000 | Total: 2.0262e+05 | Physics: 1.3030e+00 | Data: 2.0260e+04 | BC: 4.0504e-01 | Smooth: 1.7914e-01
Epoch 62/4000 | Total: 2.0262e+05 | Physics: 1.3030e+00 | Data: 2.0260e+04 | BC: 4.0504e-01 | Smooth: 1.8108e-01
Epoch 63/4000 | Total: 2.0262e+05 | Physics: 1.3030e+00 | Data: 2.0259e+04 | BC: 4.0504e-01 | Smooth: 1.8307e-01
Epoch 64/4000 | Total: 2.0261e+05 | Physics: 1.3030e+00 | Data: 2.0259e+04 | BC: 4.0503e-01 | Smooth: 1.8512e-01
Epoch 65/4000 | Total: 2.0261e+05 | Physics: 1.3030e+00 | Data: 2.0258e+04 | BC: 4.0503e-01 | Smooth: 1.8722e-01
Epoch 66/4000 | Total: 2.0260e+05 | Physics: 1.3030e+00 | Data: 2.0258e+04 | BC: 4.0503e-01 | Smooth: 1.8937e-01
Epoch 67/4000 | Total: 2.0259e+05 | Physics: 1.3030e+00 | Data: 2.0257e+04 | BC: 4.0502e-01 | Smooth: 1.9157e-01
Epoch 68/4000 | Total: 2.0259e+05 | Physics: 1.3030e+00 | Data: 2.0257e+04 | BC: 4.0502e-01 | Smooth: 1.9382e-01
Epoch 69/4000 | Total: 2.0258e+05 | Physics: 1.3030e+00 | Data: 2.0256e+04 | BC: 4.0501e-01 | Smooth: 1.9612e-01
Epoch 70/4000 | Total: 2.0258e+05 | Physics: 1.3029e+00 | Data: 2.0255e+04 | BC: 4.0501e-01 | Smooth: 1.9847e-01
Epoch 71/4000 | Total: 2.0257e+05 | Physics: 1.3029e+00 | Data: 2.0255e+04 | BC: 4.0501e-01 | Smooth: 2.0086e-01
